Price,Close,High,Low,Open,Volume,RSI_14
Ticker,5439.TWO,5439.TWO,5439.TWO,5439.TWO,5439.TWO,
Date,,,,,,
2024-01-24,103.11442565917969,105.51243555823038,102.1552216995594,104.5532315986101,1711000,41.39708353876345
2024-01-25,105.99203491210938,108.86964671967796,104.07362704039699,104.55322900832509,5498000,46.94229960288927
2024-01-26,101.67562103271484,107.4308448647553,101.67562103271484,105.9920389067452,3819000,40.718358839091565
2024-01-29,105.99203491210938,106.47163688003748,100.71641326490031,101.19601523282842,2904000,48.12533695898546
2024-01-30,106.47164154052734,108.39004949621253,105.51243756268475,106.47164154052734,1920000,48.88948565211864
2024-01-31,105.0328369140625,109.34925486943493,105.0328369140625,107.9104488843108,2444000,46.66849019961762
2024-02-01,106.47164154052734,107.91044750729122,105.51243756268475,105.99203955160606,1531000,49.15595519133493
2024-02-02,108.39004516601562,109.82885107529901,107.43084122649336,108.86964713577675,3605000,52.347366982069644
2024-02-05,109.34925079345703,110.3084547477856,106.95124090763561,109.82885277062131,3098000,53.90530478333679
2024-02-15,107.91044616699219,110.78805806477864,106.95124220106337,109.82885409884982,2478000,51.20123177668495
2024-02-16,106.47164154052734,109.8288554629764,106.47164154052734,108.39004949621253,2246000,48.57699948073637
2024-02-19,108.39004516601562,109.82885107529901,107.43084122649336,107.43084122649336,2152000,52.10202196565533
2024-02-20,106.47164154052734,109.8288554629764,105.51243756268475,109.8288554629764,2239000,48.520140492774765
2024-02-21,105.51243591308594,107.4308438387784,105.51243591308594,106.95124185735528,1358000,46.788136856725295
2024-02-22,102.63482666015625,106.95124460380768,102.1552246664172,106.47164261006863,3301000,41.95014630230016
2024-02-23,104.55323028564453,106.47163818079397,103.11442436428246,103.59402633806981,2338000,45.96179614427059
2024-02-26,103.59402465820312,105.99203448825412,102.63482072618272,105.03283055623373,1372000,44.31284445387761
2024-02-27,101.67562103271484,105.51243692074182,100.7164170607081,104.0736309627317,1755000,41.13430194725051
2024-02-29,101.67562103271484,103.11442699072495,101.19601904671147,102.15522301871822,942000,41.13430194725052
2024-03-01,103.11442565917969,103.59402763898983,101.19601773993914,102.63482367936955,1061000,44.59136314044232
2024-03-04,102.63482666015625,104.55323463511243,102.63482666015625,104.0736326413734,1474000,43.67070977536976
2024-03-05,112.70646667480469,112.70646667480469,103.59402894365027,103.59402894365027,10030000,61.600566620104374
2024-03-06,114.14527130126953,119.90049506435875,113.18606734075466,113.18606734075466,15706000,63.393196635642944
2024-03-07,113.6656723022461,119.90049820912036,113.18607030940962,117.98209023777443,8770000,62.34835144398686
2024-03-08,109.34925079345703,116.06367847375702,105.99203695330704,115.58407649659273,8031000,53.76018735767454
2024-03-11,107.43084716796875,109.82885714939663,106.95124517168317,109.82885714939663,2007000,50.43505685134988
2024-03-12,112.22686004638672,112.70646201239693,107.91044235229492,108.39004431830513,2743000,57.51051304463697
2024-03-13,112.22686004638672,112.22686004638672,112.22686004638672,112.22686004638672,0,57.51051304463697
2024-03-14,108.8696517944336,111.26766174585283,106.9512438332982,108.39004980414974,1743000,51.537783138723924
2024-03-15,110.30845642089844,111.7472623742145,108.39004848314367,108.39004848314367,1614000,53.754466468563564
2024-03-18,110.30845642089844,110.30845642089844,110.30845642089844,110.30845642089844,0,53.754466468563564
2024-03-19,111.74726104736328,112.22686302610732,110.30845511113114,110.30845511113114,1392000,56.08411998951789
2024-03-20,111.74726104736328,111.74726104736328,111.74726104736328,111.74726104736328,0,56.08411998951789
2024-03-21,113.18606567382812,115.58407553979906,112.22686172743975,115.10447356660487,2094000,58.50823287123881
2024-03-22,122.77810668945312,124.21691262722015,114.14527106285095,114.62487304210663,11784000,70.28451025755045
2024-03-25,119.42089080810547,131.41094008602772,118.94128883698859,127.5741243170926,17187000,63.492173432309116
2024-03-26,119.42089080810547,119.42089080810547,119.42089080810547,119.42089080810547,0,63.49217343230912
2024-03-27,118.46168518066406,119.42088910925244,114.62486946631057,117.0228792877815,4412000,61.52205541222348
2024-03-28,120.85969543457031,120.85969543457031,115.58407380845811,117.98208363850912,3259000,64.48868173153394
2024-03-29,119.90049743652344,120.85970141601562,118.46169146728515,119.90049743652344,1580000,62.415740365173875
2024-04-01,119.90049743652344,123.73731335449219,117.98208947753906,118.94129345703125,2925000,62.41574036517388
2024-04-02,118.46168518066406,123.25770482360593,117.98208321636987,120.859695002135,3032000,59.110281347801376
2024-04-03,115.58407592773438,117.98208580175375,115.10447395293049,117.98208580175375,1758000,53.05822774069479
2024-04-08,119.42089080810547,120.38009475033925,116.54327898140414,116.54327898140414,2469000,59.0748618528721
2024-04-09,120.38009643554688,122.7781063247012,117.02288259073083,118.94129050205429,4178000,60.439998041552094
2024-04-10,119.90049743652344,123.2577113647461,119.90049743652344,122.778109375,3184000,59.373573219094496
2024-04-11,117.98208618164062,122.29850396877382,113.1860664181593,116.0636782762481,4667000,55.17953872158803
2024-04-12,117.50248718261719,119.90049712511957,117.02288519411671,118.46169115961814,1646000,54.14973051293819
2024-04-15,110.78805541992188,117.02288104961445,109.82885147689225,117.02288104961445,4863000,42.258900794153114
2024-04-16,105.0328369140625,109.34925486943493,104.07363292397974,108.86965287439355,2638000,35.13670200140042
2024-04-17,106.95124053955078,107.91044449057814,105.51243461300973,105.51243461300973,964000,38.837086981424676
